Unnamed: 0,Model,Price,Rating,Generation,Core,Ram,SSD,Display,Graphics,OS,Warranty
165,Lenovo V15 G4 Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),"₹34,821",50.0,7th Gen AMD Ryzen 5 7520U ,"Quad Core, 8 Threads",8 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Graphics,Windows 11 OS,1 Year Warranty
166,Acer Aspire 5 A515-58GM 15 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),"₹60,999",61.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1 Year Warranty
167,Lenovo Yoga Slim 6 14IAP8 82WU0095IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹63,700",62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,"14 inches, 2240 x 1400 pixels",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty
168,Zebronics Pro Series Y ZEB-NBC 1S Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),"₹23,990",51.0,11th Gen Intel Core i3 1125G4,"Quad Core, 8 Threads",8 GB LPDDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,Windows 11 OS,1 Year Warranty
169,Asus TUF Gaming F17 FX707ZC4-HX048WS Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹71,990",66.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8 GB DDR5 RAM,512 GB SSD,"17.3 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty
170,MSI Bravo 15 B7ED-012IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹49,990",61.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB AMD Radeon RX6550M,Windows 11 OS,1 Year Warranty
171,Asus Vivobook 16 2023 X1605VA-MB947WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11 Home),"₹77,990",65.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",Integrated Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty
172,Dell Inspiron 15 3520 IN352092K4N001ORS1 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹52,499",52.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Graphics,Windows 11 OS,1 Year Warranty
173,Chuwi FreeBook Laptop (12th Gen Core i3/ 12GB/ 512GB SSD/ Win11),"₹27,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",12 GB LPDDR4 RAM,512 GB SSD,"13.5 inches, 2256 x 1504 pixels, Touch Screen",Intel Integrated Intel UHD Graphics,Windows 11 OS,1 Year Warranty
174,HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),"₹47,990",53.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty
175,Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),"₹29,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB LPDDR4X RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty
176,HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹52,499",68.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB AMD Radeon RX 6500M Graphics,Windows 11 OS,1 Year Warranty
177,Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),"₹84,990",72.0,12th Gen Intel Core i7 12700H ,"14 Cores, 20 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty
178,MSI Thin GF63 11SC-1494IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹41,990",60.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,2 Year Warranty
179,Asus VivoBook 15 X1500EA-EJ326WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹31,990",52.0,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4  RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty
180,Lenovo LOQ 15IRH8 82XV00BRIN 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,04,990",60.0,13th Gen Intel Core i7,16 GB DDR5 RAM,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,Backlit Keyboard
181,HP Victus 16-D0314TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹60,200",71.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"16.1 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,1 Year Warranty
182,Asus Zenbook 14X OLED 2023 UX5401ZA-KM541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹67,990",62.0,12th Gen Intel Core i5 12500H ,"12 Cores (4P + 8E), 16 Threads",16 GB  RAM,512 GB SSD,"14 inches, 2880 x 1800 pixels",Intel Iris Xe,Windows 11 OS,1 Year Warranty
183,Acer Aspire Lite AL15 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),"₹36,990",56.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Graphics,Windows 11 OS,1 Year Warranty
184,Walker NU14A1 Laptop (Celeron N4020/ 4GB/ 128GB SSD / Win11 Home),"₹12,990",,Intel Celeron  N4020,"Dual Core, 2 Threads",4 GB DDR4 RAM,128 GB SSD,"14.1 inches, 1920 x 1080 pixels",Intel Integrated UHD Graphics,Windows 11 OS,1 Year Warranty
185,Asus Vivobook 16X 2023 K3605ZU-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹76,990",69.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",6 GB NVIDIA Geforce RTX 4050,Windows 11 OS,1 Year Warranty
186,HP Pavilion Plus 14-eh1022TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),"₹72,490",64.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 2240 x 1400 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty
187,Infinix Zerobook ZL513 2023 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),"₹49,990",52.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5X RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty
188,Dell Latitude 3420 GD723YX17 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Ubuntu),"₹37,890",55.0,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"14 inches, 1366 x 768 pixels",Intel UHD Graphics,Ubuntu OS,1 Year Warranty
189,Dell Inspiron 5630 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹72,990",66.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5  RAM,512 GB SSD,"16 inches, 2560 x 1600 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty
190,Acer Aspire 3 A315-59 NX.K6TSI.00C Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹31,990",53.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics ,Windows 11 OS,1 Year Warranty
191,Infinix INBook X2 Slim Series Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),"₹25,990",53.0,11th Gen Intel Core i3  1115G4,"Dual Core, 4 Threads",8 GB LPDDR4X RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated UHD Graphics,Windows 11 OS,1 Year Warranty
192,HP Victus 15-fb0137AX Gaming Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹64,990",63.0,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty
193,HP Pavilion 15s-fq5190TU Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹62,842",61.0,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe,Windows 11 OS,1 Year Warranty
194,Lenovo V14 G3 82TSA01KIH Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Dos),"₹27,799",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated UHD,DOS OS,1 Year Warranty
195,HP Pavilion 15-eg3081TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹68,990",62.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Integrated,Windows 11 OS,1 Year Warranty
196,Asus Vivobook 14X OLED 2023 K3405VCB-KM542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/4 GB Graphics),"₹86,990",64.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 2880 x 1800 pixels",4 GB NVIDIA Geforce RTX 3050,Windows 11 OS,1 Year Warranty
197,HP Victus 15-fb0122AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹52,999",63.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,1 Year Warranty
198,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ952WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,49,990",,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,"16 inches, 3200 x 2000 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,1 Year Warranty
199,Acer Nitro 5 AN515-47 Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹69,990",68.0,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty
200,Apple MacBook Air 15 2023 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),"₹1,13,690",52.0,Apple M2,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,"15.3 inches, 2880 x 1864 pixels",10-Core GPU,Mac OS,1 Year Warranty
201,HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),"₹74,990",65.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1080 pixels, Touch Screen",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty
202,MSI Stealth 17 A13VH-055IN Gaming Laptop (13th Gen Core i9/ 64GB/ 2TB SSD/ Win11 Home/ 12GB Graph),"₹4,89,883",,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",64 GB DDR5 RAM,2 TB SSD,"17.3 inches, 3840 x 2160 pixels",12 GB Nvidia GeForce RTX4080,Windows 11 OS,2 Year Warranty
203,Acer Extensa EX215-23 NX.EH3SI.003 Laptop (Ryzen 5 7520U/ 8 GB/512 GB SSD/Win11 Home),"₹31,990",50.0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon AMD,Windows 11 OS,1 Year Warranty
204,Samsung Galaxy Book 3 NP750XFG-KA3IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹81,990",56.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty
205,Samsung Galaxy Book 3 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹69,990",,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty
206,HP Omen 17-ck1023TX Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11/ 16GB Graph),"₹1,95,999",,12th Gen Intel Core i9 12900HX,"16 Cores (8P + 8E), 24 Threads",32 GB DDR5 RAM,2 TB SSD,"17.3 inches, 2560 x 1440 pixels",16 GB NVIDIA GeForce RTX 3080Ti,Windows 11  OS,1 Year Warranty
207,Dell G15-5521 SE D560738WIN9B Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹99,890",75.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 2560 x 1440 pixels",6 GB NVIDIA GeForce RTX 3060,Windows 11 OS,1 Year Warranty
208,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹52,990",68.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1 Year Warranty
209,Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹72,000",71.0,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,1 Year Warranty
210,Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹64,990",63.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 2880 x 1800 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty
211,Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹73,776",68.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty
212,Dell Precision 5550 Laptop (10th Gen Core i7/ 16GB/ 512GB SSD/ Win10 Pro/ 4GB Graph),"₹1,84,999",66.0,10th Gen Intel Core i7 10750H,"Hexa Core, 12 Threads",16 GB DDR4  RAM,512 GB SSD,"15.6 inches, 1920 x 1200 pixels",4 GB NVIDIA ,Windows 10 OS,Backlit Keyboard
213,Lenovo Thinkpad E16 21JN004GIG Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ DOS),"₹63,490",59.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"16 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,Windows 11 OS,1 USB 3.0 Ports
214,Infinix INBook Y4 Max Series YL613 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),"₹37,990",52.0,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB LPDDR4X RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty
215,Lenovo IdeaPad Slim 3 ‎15IAH8 83ER00BCIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹53,390",57.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD Graphics,Windows 11 OS,1 Year Warranty
216,HP Envy x360 15-fe0011TX Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),"₹1,20,490",68.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels, Touch Screen",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty
217,Lenovo Thinkpad E16 G1 21JN004DIG Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ DOS),"₹42,990",59.0,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"16 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,Windows 11 OS,1 USB 3.0 Ports
218,MSI Commercial 14 H A13MG-064IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹87,990",62.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,Windows 11 OS,3 Year Warranty
219,HP 15-FC0029AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),"₹41,990",56.0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon AMD,Windows 11 OS,1 Year Warranty
220,Lenovo IdeaPad 1 82V700ECIN Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),"₹30,700",,4th Gen Intel Celeron N4020,"Dual Core, 2 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1366 x 768 pixels",Intel UHD Graphics 600,Windows 11 OS,1 Year Warranty
221,Honor MagicBook X16 Pro 2024 ‎Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹79,990",57.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty
222,Honor MagicBook X14 Pro 2024 ‎Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹59,990",54.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDRx4 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty
223,Lenovo ThinkPad P14s 21K5S00700 Laptop (AMD Ryzen 7 Pro 7840U/ 32GB/ 512GB SSD/ Win11 Pro),"₹1,09,990",70.0,7th Gen AMD Ryzen 7 7840U,"Octa Core, 16 Threads",32 GB LPDDR5X RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels",AMD Radeon Integrated Graphics,Windows 11 OS,3 Year Warranty
224,HP Envy x360 14-fa0038AU Laptop (AMD Ryzen 5 8640HS/ 16GB/ 512GB SSD/ Win11),"₹86,990",68.0,8th Gen AMD Ryzen 5 8640HS,"Hexa Core, 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon Graphics,Windows 11 OS,1 Year Warranty
225,HP 15s-fq5327TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹37,490",55.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty
226,MSI Stealth 14 AI Studio A1VGG-054IN Gaming Laptop (Intel Core Ultra 7 155H/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹2,29,990",,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB DDR5 RAM,1 TB SSD,"15.6 inches, 2880 x 1800 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2 Year Warranty
227,MSI Katana A15 AI B8VE-418IN Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 512GB SSD/ Win11 /6GB Graph),"₹1,04,990",70.0,8th Gen AMD Ryzen 7 8845HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.75 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2 Year Warranty
228,MSI Cyborg 15 AI A1VEK-050IN Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,07,990",68.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2 Year Warranty
229,MSI Cyborg 15 AI A1VEK-051IN Gaming Laptop (Intel Core Ultra 5 125H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹99,990",66.0,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2 Year Warranty
230,MSI Cyborg 15 AI A1VFK-049IN Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,14,990",69.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2 Year Warranty
231,MSI Raider GE78 HX 14VHG-805IN Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),"₹2,99,990",,14th Gen Intel Core i9 14900HX,"24 Cores (8P + 16E), 32 Threads",32 GB DDR5 RAM,2 TB SSD,"17 inches, 2560 x 1600 pixels",12 GB NVIDIA GeForce RTX 4080,Windows 11 OS,2 Year Warranty
232,MSI Commercial 14 H A13MG vPro-065IN Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/Win11),"₹1,09,990",69.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",32 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels",Intel Integrated Iris Xe,Windows 11 OS,3 Year Warranty
233,MSI Thin A15 AI B7UCX-068IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹65,990",69.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,2 Year Warranty
234,MSI Thin A15 AI B7UC-067IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹71,990",70.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,2 Year Warranty
235,MSI Thin A15 AI B7VE-066IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹81,990",71.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2 Year Warranty
236,MSI Thin A15 AI B7VE-065IN Gaming Laptop (AMD Ryzen 7 7735H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹91,990",73.0,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2 Year Warranty
237,MSI Stealth 16 AI Studio A1VGG-057IN Gaming Laptop (Intel Core Ultra 9/ 32GB/ 2TB SSD/ Win11/ 8GB Graph),"₹2,49,990",,Intel Core Ultra 9 Series 1 185H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB DDR5 RAM,2 TB SSD,"16 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2 Year Warranty
